Power,Clock,Temperature
12.976761,3768.386947631836,39.375
4.066902,2733.4637145996094,39.125
1.754688,3127.2069244384766,38.875
8.413251,2738.0968475341797,38.625
1.754688,2383.9219360351562,38.375
0.0,3050.4666442871094,38.25
7.47813,2507.9766998291016,38.125
1.742832,2523.870834350586,37.875
2.32407,2415.84423828125,37.625
0.485604,2262.7043685913086,37.375
8.413251,2962.9644622802734,37.25
52.138751,4540.817565917969,42.0
52.766844,4498.859039306641,50.375
52.766844,4491.92236328125,56.0
51.901577,4479.179229736328,59.875
53.387029,4467.153625488281,62.5
52.766844,4464.209411621094,64.375
52.2444,4462.198699951172,65.625
52.525716,4459.320343017578,66.5
52.766844,4456.481262207031,67.125
51.664403,4454.544738769531,67.75
52.766844,4447.702697753906,68.25
51.3877,4442.246643066406,68.625
51.664403,4441.939453125,68.875
51.664403,4437.805206298828,69.25
52.525716,4437.571838378906,69.5
52.525716,4436.7327880859375,69.75
51.664403,4435.0589599609375,70.0
52.525716,4433.865753173828,70.25
51.664403,4433.747863769531,70.5
52.525716,4433.284576416016,70.75
52.2444,4430.440612792969,71.0
50.29778,4430.368682861328,71.25
51.664403,4428.600036621094,71.375
52.2444,4427.4432373046875,71.625
51.3877,4424.474792480469,71.875
52.2444,4419.492828369141,72.375
52.2444,4417.827453613281,73.0
51.3877,4414.1343994140625,73.0
51.3877,4412.385192871094,73.0
50.06456,4411.9921875,73.125
50.531,4411.281463623047,73.25
51.3877,4410.306488037109,73.25
52.856018,4410.2999267578125,73.375
52.2444,4408.916229248047,73.375
52.856018,4409.545959472656,73.625
52.2444,4407.9163818359375,73.75
50.06456,4407.826904296875,73.875
50.06456,4406.820281982422,74.0
51.3877,4406.537994384766,74.0
51.150526,4404.122802734375,74.125
50.29778,4402.860504150391,74.25
51.3877,4401.815338134766,74.25
50.29778,4400.508758544922,74.5
52.2444,4400.047119140625,74.5
50.06456,4399.467559814453,74.5
50.06456,4396.346832275391,74.625
50.29778,4396.786285400391,74.625
51.150526,4393.553741455078,74.75
50.29778,4393.2283935546875,74.75
51.150526,4391.46435546875,74.875
50.29778,4389.659393310547,75.0
50.29778,4390.240997314453,75.0
51.150526,4390.128967285156,75.125
16.387756,4290.558853149414,75.0
2.925072,2910.794219970703,74.0
7.47813,2797.014938354492,73.0
1.742832,2315.3741607666016,71.875
2.32407,2466.1168670654297,70.75
2.905308,2477.071258544922,69.625
1.766544,2902.9436950683594,68.625
20.480022,2965.3368225097656,67.625
1.655888,2607.461166381836,66.75
2.32407,2376.8228302001953,65.75
2.905308,1982.6759490966797,64.75
2.905308,2490.6297302246094,63.875
2.32407,2233.307304382324,62.875
2.905308,2807.2762908935547,62.0
8.377677,3142.0843811035156,61.25
1.742832,2499.3087997436523,60.375
14.957679,3596.9222869873047,59.625
11.169765,2860.3739318847656,58.875
2.925072,2009.3440017700195,58.125
12.049548,2885.4297485351562,57.5
2.905308,2536.100616455078,56.75
1.742832,2426.321319580078,56.125
